value,date
8370,2022-04-21 10:24:17
7990,2022-04-22 18:27:43
3190,2022-04-23 09:37:29
9990,2022-04-24 22:11:49
8230,2022-04-25 22:18:20
8450,2022-04-26 22:33:33
8370,2022-04-27 22:35:14
8360,2022-04-28 22:23:50
2140,2022-04-29 19:39:29
3670,2022-04-30 22:27:37
2180,2022-05-01 00:21:11
2080,2022-05-02 19:45:55
2900,2022-05-03 12:01:50
1910,2022-05-04 22:45:21
3270,2022-05-05 20:45:18
1890,2022-05-06 00:36:00
1900,2022-05-07 22:15:14
1870,2022-05-08 05:46:44
1880,2022-05-09 22:08:19
1910,2022-05-10 22:17:59
1990,2022-05-11 22:11:55
1890,2022-05-12 22:43:50
3840,2022-05-13 22:23:45
2130,2022-05-14 18:11:31
2170,2022-05-15 22:25:01
3710,2022-05-16 12:59:15
2150,2022-05-17 12:13:26
1960,2022-05-18 22:45:20
2080,2022-05-19 17:40:37
2460,2022-05-20 12:35:59
3050,2022-05-21 18:28:30
1910,2022-05-22 22:10:01
1980,2022-05-23 19:09:19
2240,2022-05-24 09:34:13
2620,2022-05-25 18:31:02
2100,2022-05-26 00:15:10
3520,2022-05-27 04:53:20
1880,2022-05-28 22:41:50
1900,2022-05-29 04:42:41
2010,2022-05-30 23:59:23
2510,2022-05-31 00:31:25
2160,2022-06-01 00:29:40
2010,2022-06-02 20:12:01
1920,2022-06-03 02:24:18
1910,2022-06-04 02:34:55
1880,2022-06-05 22:19:12
1960,2022-06-06 22:10:11
2030,2022-06-07 22:27:50
1880,2022-06-08 22:24:58
1830,2022-06-09 03:24:32
1900,2022-06-10 22:38:14
1850,2022-06-11 22:35:47
1890,2022-06-12 03:11:08
1910,2022-06-13 22:18:41
2020,2022-06-14 22:10:25
2920,2022-06-15 19:11:24
3860,2022-06-16 22:34:22
2220,2022-06-17 00:27:36
1970,2022-06-18 19:16:28
1890,2022-06-19 22:29:45
2020,2022-06-20 13:38:09
2110,2022-06-21 22:31:48
3340,2022-06-22 19:55:32
