value,date
5823,2022-04-22
9467,2022-04-23
18254,2022-04-24
12563,2022-04-25
15636,2022-04-26
12173,2022-04-27
11144,2022-04-28
6439,2022-04-29
8711,2022-04-30
7754,2022-05-01
7630,2022-05-02
9535,2022-05-03
4628,2022-05-04
15537,2022-05-05
5797,2022-05-06
2415,2022-05-07
2266,2022-05-08
2122,2022-05-09
2117,2022-05-10
3562,2022-05-11
5951,2022-05-12
5797,2022-05-13
6658,2022-05-14
5401,2022-05-15
7009,2022-05-16
7711,2022-05-17
5482,2022-05-18
5924,2022-05-19
7019,2022-05-20
5472,2022-05-21
3810,2022-05-22
7650,2022-05-23
9143,2022-05-24
11072,2022-05-25
10268,2022-05-26
10194,2022-05-27
3119,2022-05-28
2768,2022-05-29
4804,2022-05-30
6865,2022-05-31
5908,2022-06-01
6573,2022-06-02
5679,2022-06-03
2852,2022-06-04
2424,2022-06-05
3470,2022-06-06
4800,2022-06-07
3476,2022-06-08
2471,2022-06-09
2190,2022-06-10
2148,2022-06-11
2135,2022-06-12
2140,2022-06-13
5140,2022-06-14
5784,2022-06-15
6594,2022-06-16
6742,2022-06-17
4180,2022-06-18
4402,2022-06-19
4274,2022-06-20
4777,2022-06-21
6711,2022-06-22
6585,2022-06-23
3718,2022-06-24
2644,2022-06-25
3045,2022-06-26
5948,2022-06-27
8855,2022-06-28
4774,2022-06-29
4219,2022-06-30
3556,2022-07-01
2557,2022-07-02
2906,2022-07-03
5354,2022-07-04
6679,2022-07-05
6204,2022-07-06
4635,2022-07-07
3851,2022-07-08
5436,2022-07-09
5020,2022-07-10
4363,2022-07-11
3479,2022-07-12
5329,2022-07-13
5947,2022-07-14
4117,2022-07-15
4986,2022-07-16
4684,2022-07-17
4413,2022-07-18
5044,2022-07-19
4857,2022-07-20
4040,2022-07-21
3113,2022-07-22
2132,2022-07-23
2087,2022-07-24
4241,2022-07-25
3592,2022-07-26
5494,2022-07-27
4129,2022-07-28
5539,2022-07-29
3656,2022-07-30
4335,2022-07-31
4528,2022-08-01
6753,2022-08-02
3830,2022-08-03
4557,2022-08-04
3530,2022-08-05
3901,2022-08-06
3538,2022-08-07
3793,2022-08-08
3642,2022-08-09
4002,2022-08-10
3831,2022-08-11
2949,2022-08-12
2173,2022-08-13
5579,2022-08-14
5790,2022-08-15
4969,2022-08-16
4227,2022-08-17
5567,2022-08-18
3770,2022-08-19
2769,2022-08-20
3159,2022-08-21
6304,2022-08-22
4899,2022-08-23
5324,2022-08-24
4929,2022-08-25
3489,2022-08-26
1560,2022-08-27
421,2022-08-28
425,2022-08-29
453,2022-08-30
434,2022-08-31
432,2022-09-01
425,2022-09-02
412,2022-09-03
408,2022-09-04
399,2022-09-05
411,2022-09-06
413,2022-09-07
401,2022-09-08
401,2022-09-09
370,2022-09-10
358,2022-09-11
356,2022-09-12
368,2022-09-13
389,2022-09-14
369,2022-09-15
366,2022-09-16
372,2022-09-17
4242,2022-09-18
24327,2022-09-19
7199,2022-09-20
8418,2022-09-21
7700,2022-09-22
8932,2022-09-23
7178,2022-09-24
10444,2022-09-25
14702,2022-09-26
10464,2022-09-27
15955,2022-09-28
17125,2022-09-29
4846,2022-09-30
2396,2022-10-01
4075,2022-10-02
17220,2022-10-03
13900,2022-10-04
10191,2022-10-05
12883,2022-10-06
12336,2022-10-07
10549,2022-10-08
13655,2022-10-09
11953,2022-10-10
9891,2022-10-11
8744,2022-10-12
9517,2022-10-13
10873,2022-10-14
7803,2022-10-15
7886,2022-10-16
6443,2022-10-17
5769,2022-10-18
6160,2022-10-19
8421,2022-10-20
10502,2022-10-21
10723,2022-10-22
12584,2022-10-23
12417,2022-10-24
11829,2022-10-25
11356,2022-10-26
9735,2022-10-27
9430,2022-10-28
10416,2022-10-29
11954,2022-10-30
12240,2022-10-31
12466,2022-11-01
2543,2022-11-02
2271,2022-11-03
2212,2022-11-04
2118,2022-11-05
2220,2022-11-06
26480,2022-11-07
37708,2022-11-08
29028,2022-11-09
25003,2022-11-10
2647,2022-11-11
2315,2022-11-12
9474,2022-11-13
38696,2022-11-14
32680,2022-11-15
35941,2022-11-16
26676,2022-11-17
3486,2022-11-18
2322,2022-11-19
2173,2022-11-20
2148,2022-11-21
2144,2022-11-22
2118,2022-11-23
2081,2022-11-24
2084,2022-11-25
2137,2022-11-26
26680,2022-11-27
60714,2022-11-28
55810,2022-11-29
47205,2022-11-30
44921,2022-12-01
2652,2022-12-02
2240,2022-12-03
2161,2022-12-04
2164,2022-12-05
2069,2022-12-06
2058,2022-12-07
2106,2022-12-08
19692,2022-12-09
37157,2022-12-10
30803,2022-12-11
37963,2022-12-12
33818,2022-12-13
25942,2022-12-14
25232,2022-12-15
38144,2022-12-16
37216,2022-12-17
42094,2022-12-18
77757,2022-12-19
66322,2022-12-20
36833,2022-12-21
39730,2022-12-22
41195,2022-12-23
46756,2022-12-24
10165,2022-12-25
26814,2022-12-26
52817,2022-12-27
43814,2022-12-28
48659,2022-12-29
47660,2022-12-30
47271,2022-12-31
44160,2023-01-01
39115,2023-01-02
36477,2023-01-03
51725,2023-01-04
39142,2023-01-05
37954,2023-01-06
46285,2023-01-07
43947,2023-01-08
46019,2023-01-09
41651,2023-01-10
40735,2023-01-11
47366,2023-01-12
46128,2023-01-13
44354,2023-01-14
45469,2023-01-15
52523,2023-01-16
50663,2023-01-17
49679,2023-01-18
56614,2023-01-19
67148,2023-01-20
63737,2023-01-21
61324,2023-01-22
62583,2023-01-23
56658,2023-01-24
49506,2023-01-25
43557,2023-01-26
18795,2023-01-27
25606,2023-01-28
26165,2023-01-29
26789,2023-01-30
26372,2023-01-31
55399,2023-02-01
59121,2023-02-02
46125,2023-02-03
44847,2023-02-04
48979,2023-02-05
42652,2023-02-06
39433,2023-02-07
50211,2023-02-08
51730,2023-02-09
48590,2023-02-10
45493,2023-02-11
38199,2023-02-12
41775,2023-02-13
37327,2023-02-14
34553,2023-02-15
36810,2023-02-16
26963,2023-02-17
28392,2023-02-18
26949,2023-02-19
31061,2023-02-20
27865,2023-02-21
30455,2023-02-22
34290,2023-02-23
21234,2023-02-24
19287,2023-02-25
33630,2023-02-26
44571,2023-02-27
42077,2023-02-28
43989,2023-03-01
37718,2023-03-02
37624,2023-03-03
30700,2023-03-04
32492,2023-03-05
35533,2023-03-06
37205,2023-03-07
36795,2023-03-08
32676,2023-03-09
13838,2023-03-10
17442,2023-03-11
15894,2023-03-12
30852,2023-03-13
28856,2023-03-14
30641,2023-03-15
30822,2023-03-16
16094,2023-03-17
14680,2023-03-18
15817,2023-03-19
25809,2023-03-20
20895,2023-03-21
18889,2023-03-22
25916,2023-03-23
19554,2023-03-24
10951,2023-03-25
14595,2023-03-26
41761,2023-03-27
30646,2023-03-28
28270,2023-03-29
20330,2023-03-30
14559,2023-03-31
17691,2023-04-01
20080,2023-04-02
27614,2023-04-03
26423,2023-04-04
26775,2023-04-05
28333,2023-04-06
22893,2023-04-07
23887,2023-04-08
21276,2023-04-09
22339,2023-04-10
19316,2023-04-11
19473,2023-04-12
23178,2023-04-13
21997,2023-04-14
20778,2023-04-15
22598,2023-04-16
23704,2023-04-17
21966,2023-04-18
20893,2023-04-19
20297,2023-04-20
20178,2023-04-21
17006,2023-04-22
16715,2023-04-23
12611,2023-04-24
11432,2023-04-25
13403,2023-04-26
4471,2023-04-27
